noteID,note_es,translation_source
1,"“Mal tiempo” se refiere a las condiciones generales que reinan durante las precipitaciones e instantes antes o después de ellas.",PDF
2,"Los términos “despejado” y “cubierto” se cifran con 0 y 8, respectivamente.",PDF
3,"La “media de conjunto” indica que se han promediado una serie de valores distintos correspondientes a una serie de localizaciones temporales.",PDF
4,"El “promedio de tiempo” indica que los valores se promedian de manera permanente a lo largo de un período de tiempo.",PDF
5,"0 es satisfactorio, 1 es insatisfactorio",PDF
6,"Véase la Tabla de cifrado común C–1, Parte C/c.",PDF
7,"Véase la Tabla de cifrado común C–2, Parte C/c.",PDF
8,Véase la Tabla de cifrado común C–3,PDF
9,Véase la Tabla de cifrado común C–4,PDF
10,"Véase la Tabla de cifrado común C–5, Parte C/c.",PDF
11,"Véase la Tabla de cifrado común C–7, Parte C/c.",PDF
12,"Véase la Tabla de cifrado común C–8, Parte C/c.",PDF
14,"Será definida por los propios centros — Véase la Tabla de cifrado común C-12, Parte C/c.",PDF
15,Se elaborará.,PDF
16,"Una secuencia consecutiva de dos o más coordenadas de posición, tales como los pares de latitud y longitud, define una línea o un polígono. Los puntos deberán unirse entre sí en el mismo orden en que aparecen en el mensaje. Toda área descrita estará situada a la izquierda del límite trazado en la dirección establecida por el orden de los puntos dado en el mensaje. Esta definición se aplica a polígonos simples que no se intersecan y no presentan huecos.",PDF
17,"Si todos los bits indican 0, eso significa una buena calibración.",PDF
18,Todas las estadísticas de primer orden están expresadas en las unidades definidas por los descriptores de datos originales.,PDF
19,Se utilizará inicialmente la significación del campo asociado (adicional) en relación con la calidad de los datos observados.,PDF
20,La calidad mala se define actualmente como un ángulo de balanceo superior a 5 grados con relación a la vertical.,PDF
21,"Comenzando por la posición del primer bit (bit más significativo), si el bit se fija en uno, entonces el canal es utilizado. Si el bit se fija en cero, entonces el canal no es utilizado.",PDF
22,"Banderines de bit que indican los elementos incluidos en el proceso de datos de sondeo",PDF
23,Cifras de clave 1 a 9: duración y tiempo de la medición de la corriente (método vectorial o método Doppler de perfil de corriente).,PDF
24,"Los bits 1 a 4 representan la clave de defectos horarios. Si todos los bits indican 0, eso significa que la hora de barrido corresponde a la prevista.",PDF
25,"Los bits 11 a 17 representan la clave de problemas de localización geográfica. Si todos los bits indican 0, eso significa que la localización geográfica ha sido normal.",PDF
