ID,ClassNo,ClassName_ru,FXY,ElementName_ru,BUFR_Unit_ru,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_ru,CREX_Scale,CREX_DataWidth_Char,Note_ru,noteIDs,Status,translation_source
bufr4/0/14/001,14,Радиация и излучение в BUFR/CREX,014001,"Длинноволновая радиация, интегрированная за 24 часа",J m-2,-3,-65536,17,J m-2,-3,5,,,Operational,PDF
bufr4/0/14/002,14,Радиация и излучение в BUFR/CREX,014002,"Длинноволновая радиация, интегрированная за указанный период",J m-2,-3,-65536,17,J m-2,-3,5,,,Operational,PDF
bufr4/0/14/003,14,Радиация и излучение в BUFR/CREX,014003,"Коротковолновая радиация, интегрированная за 24 часа",J m-2,-3,-65536,17,J m-2,-3,5,,,Operational,PDF
bufr4/0/14/004,14,Радиация и излучение в BUFR/CREX,014004,"Коротковолновая радиация, интегрированная за указанный период",J m-2,-3,-65536,17,J m-2,-3,5,,,Operational,PDF
bufr4/0/14/011,14,Радиация и излучение в BUFR/CREX,014011,"Остаточная длинноволновая радиация, интегрированная за 24 часа",J m-2,-3,-65536,17,J m-2,-3,5,,,Operational,PDF
bufr4/0/14/012,14,Радиация и излучение в BUFR/CREX,014012,"Остаточная длинноволновая радиация, интегрированная за указанный период",J m-2,-3,-65536,17,J m-2,-3,5,,,Operational,PDF
bufr4/0/14/013,14,Радиация и излучение в BUFR/CREX,014013,"Остаточная коротковолновая радиация, интегрированная за 24 часа",J m-2,-3,-65536,17,J m-2,-3,5,,,Operational,PDF
bufr4/0/14/014,14,Радиация и излучение в BUFR/CREX,014014,"Остаточная коротковолновая радиация, интегрированная за указанный период",J m-2,-3,-65536,17,J m-2,-3,5,,,Operational,PDF
bufr4/0/14/015,14,Радиация и излучение в BUFR/CREX,014015,Радиационный баланс за 24 часа,J m-2,-4,-16384,15,J m-2,-4,5,,,Operational,PDF
bufr4/0/14/016,14,Радиация и излучение в BUFR/CREX,014016,"Радиационный баланс, интегрированный за указанный период",J m-2,-4,-16384,15,J m-2,-4,5,,,Operational,PDF
